conversation_id,display_id,inbox,status_anterior,status_novo,mudanca,created_at,last_activity_at
273086,273086,Idiomus,0,3,open -> snoozed,2026-01-16 17:10:08.708121,2026-01-16 19:41:51.792495
275424,275424,Teacher Poli,0,3,open -> snoozed,2026-01-20 18:29:57.500955,2026-01-20 18:29:57.681211
275457,275457,Teacher Poli,0,3,open -> snoozed,2026-01-20 19:51:06.305898,2026-01-20 19:51:06.582443
275466,275466,Teacher Poli,0,3,open -> snoozed,2026-01-20 20:39:05.764616,2026-01-20 20:39:06.026045
275468,275468,Teacher Poli,0,3,open -> snoozed,2026-01-20 20:48:31.401496,2026-01-20 20:48:31.600704
275496,275496,Teacher Poli,0,3,open -> snoozed,2026-01-20 21:52:12.430755,2026-01-21 11:04:53.111226
275497,275497,Teacher Poli,0,3,open -> snoozed,2026-01-20 21:54:31.164587,2026-01-20 21:54:31.352617
275508,275508,Teacher Poli,0,3,open -> snoozed,2026-01-20 22:12:17.102556,2026-01-20 22:12:17.327259
275516,275516,Teacher Poli,0,3,open -> snoozed,2026-01-20 22:49:37.642835,2026-01-20 22:49:37.93222
275518,275518,Teacher Poli,0,3,open -> snoozed,2026-01-20 22:55:35.266191,2026-01-20 22:55:35.497747
275525,275525,Teacher Poli,0,3,open -> snoozed,2026-01-20 23:14:30.350621,2026-01-20 23:14:30.629573
275535,275535,Teacher Poli,0,3,open -> snoozed,2026-01-20 23:29:53.78684,2026-01-20 23:29:54.074859
275540,275540,Teacher Poli,0,3,open -> snoozed,2026-01-20 23:38:06.905079,2026-01-20 23:38:07.196609
275548,275548,Teacher Poli,0,3,open -> snoozed,2026-01-20 23:53:52.88748,2026-01-20 23:53:53.08165
275550,275550,Teacher Poli,0,3,open -> snoozed,2026-01-20 23:57:10.69754,2026-01-20 23:57:10.980906
275554,275554,Teacher Poli,0,3,open -> snoozed,2026-01-21 00:05:22.077954,2026-01-21 00:05:22.368765
275560,275560,Teacher Poli,0,3,open -> snoozed,2026-01-21 00:16:47.236736,2026-01-21 00:16:47.529984
275566,275566,Teacher Poli,0,3,open -> snoozed,2026-01-21 00:22:59.507029,2026-01-21 00:22:59.785249
275582,275582,Teacher Poli,0,3,open -> snoozed,2026-01-21 00:58:30.243914,2026-01-21 00:58:30.436547
275586,275586,Teacher Poli,0,3,open -> snoozed,2026-01-21 01:09:58.92877,2026-01-21 01:09:59.19747
275589,275589,Teacher Poli,0,3,open -> snoozed,2026-01-21 01:16:50.43047,2026-01-21 01:16:50.604379
275595,275595,Teacher Poli,0,3,open -> snoozed,2026-01-21 01:36:39.219064,2026-01-21 01:36:39.494994
275606,275606,Teacher Poli,0,3,open -> snoozed,2026-01-21 01:59:08.807274,2026-01-21 02:19:00.300372
275620,275620,Teacher Poli,0,3,open -> snoozed,2026-01-21 02:53:45.632747,2026-01-21 02:53:45.915874
275636,275636,Teacher Poli,0,3,open -> snoozed,2026-01-21 04:13:48.211949,2026-01-21 04:13:48.485547
275642,275642,Teacher Poli,0,3,open -> snoozed,2026-01-21 04:48:03.922718,2026-01-21 04:48:04.204898
275659,275659,Teacher Poli,0,3,open -> snoozed,2026-01-21 09:22:24.70896,2026-01-21 09:22:25.002554
275661,275661,Teacher Poli,0,3,open -> snoozed,2026-01-21 09:31:17.620053,2026-01-21 09:31:17.903621
275662,275662,Teacher Poli,0,3,open -> snoozed,2026-01-21 09:35:18.315202,2026-01-21 09:35:18.494263
275663,275663,Teacher Poli,0,3,open -> snoozed,2026-01-21 09:44:51.206623,2026-01-21 09:44:51.48822
275665,275665,Teacher Poli,0,3,open -> snoozed,2026-01-21 09:53:00.604111,2026-01-21 09:53:00.88908
275667,275667,Teacher Poli,0,3,open -> snoozed,2026-01-21 10:01:20.521481,2026-01-21 10:01:20.742322
275673,275673,Teacher Poli,0,3,open -> snoozed,2026-01-21 10:18:28.070439,2026-01-21 10:18:28.249387
275678,275678,Teacher Poli,0,3,open -> snoozed,2026-01-21 10:29:51.749408,2026-01-21 10:29:52.039528
275680,275680,Teacher Poli,0,3,open -> snoozed,2026-01-21 10:33:25.830724,2026-01-21 10:33:26.1051
275681,275681,Teacher Poli,0,3,open -> snoozed,2026-01-21 10:35:55.138999,2026-01-21 10:35:55.441763
275682,275682,Teacher Poli,0,3,open -> snoozed,2026-01-21 10:36:45.581964,2026-01-21 10:36:45.846372
275683,275683,Teacher Poli,0,3,open -> snoozed,2026-01-21 10:37:17.231308,2026-01-21 10:37:17.431157
275691,275691,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:03:24.381652,2026-01-21 11:03:24.661783
275692,275692,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:03:50.772812,2026-01-21 11:03:51.044656
275698,275698,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:12:33.580915,2026-01-21 11:12:33.775949
275699,275699,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:12:56.273431,2026-01-21 11:12:56.535935
275700,275700,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:13:06.613254,2026-01-21 11:13:06.904493
275705,275705,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:20:23.59624,2026-01-21 11:20:23.80357
275717,275717,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:27:05.999752,2026-01-21 11:27:06.296373
275718,275718,Teacher Poli,0,3,open -> snoozed,2026-01-21 11:29:28.571468,2026-01-21 11:29:28.831196
