chatwoot_id,evolvy_id,inbox_id,inbox_name,status_atual,status_nome,created_at,last_activity_at,assignee_id,team_id,msg_count,respostas
219868,94527,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 17:18:06,2024-07-08 14:18:06,,,6,6
219869,94545,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 17:43:04,2024-06-20 17:43:04,,,4,4
219870,94549,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 17:54:06,2024-07-08 14:54:05,,,6,6
219872,94565,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 18:13:05,2024-07-08 17:13:06,,,7,7
219873,94570,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 18:23:06,2024-07-05 18:23:05,,,3,3
219875,94606,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 19:38:06,2024-07-07 19:38:06,,,5,5
219876,94607,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 19:41:07,2024-07-08 19:41:06,,,11,11
219878,94625,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 20:22:06,2024-07-08 20:22:06,,,11,11
219879,94661,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 21:08:06,2024-07-06 21:08:05,,,4,4
219881,94672,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 21:16:05,2024-07-07 21:16:04,,,5,5
219882,94676,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 21:19:06,2024-07-06 21:19:05,,,4,4
219883,94678,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 21:25:05,2024-07-07 21:25:07,,,5,5
219886,94697,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 21:54:07,2024-07-05 21:54:06,,,3,3
219887,94704,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 22:03:19,2024-07-07 22:03:06,,,5,5
219890,94748,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 23:03:05,2024-07-06 23:03:05,,,4,4
219892,94752,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 23:07:06,2024-07-07 23:07:05,,,5,5
219894,94762,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 23:17:05,2024-07-08 20:17:07,,,6,6
219895,94767,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 23:21:06,2024-07-07 23:21:05,,,5,5
219896,94776,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 23:37:07,2024-07-08 23:37:06,,,11,11
219897,94780,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 23:41:07,2024-07-08 23:41:05,,,11,11
219898,94789,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-17 23:57:06,2024-07-05 23:57:06,,,3,3
219899,94795,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 00:16:08,2024-07-09 00:16:06,,,11,11
219900,94808,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 00:34:06,2024-07-08 00:34:05,,,5,5
219902,94827,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 01:05:04,2024-07-07 01:05:06,,,4,4
219903,94828,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 01:05:08,2024-07-09 01:05:06,,,11,11
219904,94832,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 01:10:05,2024-07-09 01:10:05,,,11,11
219906,94854,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 01:54:07,2024-07-09 01:54:05,,,11,11
219907,94864,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 02:05:08,2024-07-09 02:05:06,,,11,11
219908,94907,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 06:24:07,2024-07-07 06:24:04,,,4,4
219910,94921,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 08:06:05,2024-07-07 08:10:11,,,5,5
219911,94923,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 08:14:07,2024-07-06 08:14:05,,,3,3
219912,94927,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 08:47:06,2024-07-06 08:47:06,,,3,3
219913,94939,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 09:38:06,2024-07-06 09:38:07,,,3,3
219914,94947,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 09:48:07,2024-07-06 09:48:06,,,3,3
219915,94948,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 09:48:09,2024-07-08 09:48:06,,,5,5
219916,94956,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 09:58:05,2024-07-06 09:58:06,,,3,3
219917,94961,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:08:06,2024-07-08 10:08:06,,,5,5
219918,94968,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:20:06,2024-07-07 10:20:12,,,4,4
219919,94971,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:25:06,2024-07-06 10:25:06,,,3,3
219920,94976,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:28:08,2024-07-09 10:28:06,,,11,11
219921,94979,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:31:06,2024-07-06 10:31:05,,,3,3
219923,94980,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:31:08,2024-07-08 10:31:05,,,5,5
219924,94985,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:40:06,2024-07-08 10:40:26,,,5,5
219925,94991,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:50:08,2024-07-06 10:50:07,,,3,3
219926,94994,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:53:06,2024-07-06 10:53:06,,,3,3
219927,94996,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 10:59:07,2024-07-08 10:59:06,,,5,5
219928,95027,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 11:28:09,2024-07-09 11:28:07,,,11,11
219929,95045,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 11:42:07,2024-07-06 11:42:08,,,3,3
219930,95047,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 11:43:05,2024-07-06 11:43:06,,,3,3
219931,95052,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 11:47:07,2024-07-09 11:47:05,,,11,11
219934,95059,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 11:54:07,2024-07-08 11:54:06,,,5,5
219935,95076,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 12:18:08,2024-07-06 12:18:07,,,3,3
219936,95081,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 12:20:16,2024-07-08 12:20:07,,,5,5
219937,95084,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 12:23:06,2024-07-06 12:23:05,,,3,3
219938,95087,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 12:25:07,2024-07-06 12:25:07,,,3,3
219939,95116,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 12:56:07,2024-07-06 12:56:05,,,3,3
219941,95120,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 12:59:09,2024-07-08 12:59:06,,,5,5
219942,95122,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:00:06,2024-07-09 12:59:05,,,11,11
219943,95129,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:06:08,2024-07-06 13:06:06,,,3,3
219944,95132,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:08:07,2024-07-09 13:08:05,,,11,11
219945,95135,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:17:05,2024-07-07 13:17:05,,,4,4
219946,95136,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:20:11,2024-07-09 13:20:07,,,11,11
219947,95141,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:27:06,2024-07-07 13:27:05,,,4,4
219948,95152,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:39:05,2024-07-06 13:39:06,,,3,3
219949,95156,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:42:07,2024-07-06 13:42:05,,,3,3
219951,95167,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 13:56:06,2024-07-07 13:56:06,,,4,4
219952,95183,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 14:09:06,2024-06-18 14:09:06,,,1,1
219953,95187,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 14:15:06,2024-07-05 14:15:07,,,2,2
219957,95213,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 15:13:06,2024-07-05 15:13:05,,,2,2
219958,95215,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 15:16:06,2024-06-19 15:16:05,,,2,2
219959,95222,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 15:27:05,2024-07-07 15:27:06,,,4,4
219961,95236,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 15:47:05,2024-07-06 15:47:05,,,3,3
219962,95239,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 15:50:05,2024-07-09 15:50:07,,,11,11
219963,95242,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 15:56:05,2024-07-05 15:56:07,,,2,2
219965,95268,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 16:40:09,2024-07-05 16:40:07,,,2,2
219966,95281,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 17:29:07,2024-07-09 17:29:06,,,11,11
219971,95337,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 20:09:06,2024-07-09 20:09:07,,,11,11
219972,95341,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 20:14:07,2024-07-09 20:14:06,,,11,11
219975,95363,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 21:29:06,2024-07-09 21:29:05,,,11,11
219978,95392,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 22:36:05,2024-07-08 22:36:06,,,5,5
219979,95394,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 22:39:07,2024-07-09 22:39:05,,,11,11
219981,95402,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-18 23:11:06,2024-07-08 23:11:06,,,5,5
219987,95499,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 09:47:06,2024-07-10 09:47:07,,,11,11
219990,95512,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 10:19:07,2024-07-10 10:19:07,,,11,11
219994,95556,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 11:25:06,2024-07-10 11:25:05,,,11,11
219996,95561,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 11:31:08,2024-07-10 11:31:09,,,11,11
219997,95564,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 11:33:05,2024-07-10 11:33:05,,,11,11
219998,95565,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 11:37:06,2024-07-10 11:37:06,,,11,11
220001,95579,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 12:23:09,2024-07-10 12:23:06,,,11,11
220004,95617,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 13:39:06,2024-07-10 13:39:06,,,11,11
220010,95656,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 15:41:05,2024-07-10 12:41:06,,,6,6
220018,95753,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 20:32:05,2024-07-10 20:32:05,,,11,11
220020,95764,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 21:06:07,2024-07-10 21:06:05,,,11,11
220021,95786,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-19 21:53:06,2024-07-10 21:53:05,,,11,11
220025,95841,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 01:00:12,2024-07-11 01:00:10,,,11,11
220033,95866,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 01:45:07,2024-07-10 01:45:07,,,5,5
220035,95872,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 02:05:08,2024-07-11 02:05:07,,,11,11
220037,95888,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 03:06:06,2024-07-11 03:06:06,,,11,11
220046,95950,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 10:06:06,2024-06-21 10:06:05,,,7,7
220054,96089,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 15:46:05,2024-07-10 15:46:07,,,5,5
220057,96134,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 17:48:06,2024-07-11 17:48:06,,,11,11
220058,96144,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 18:23:07,2024-07-11 18:23:07,,,11,11
220060,96202,11,Grupo Idiomus - Teacher Poli,2,pending,2024-06-20 21:32:05,2024-07-09 21:32:06,,,4,4
