UPDATE 1
conversation_id,display_id,inbox,status,created_at
227026,227026,Contato Idiomus,3,2025-12-19 21:17:31.780894
227108,227108,Contato Idiomus,1,2025-12-20 01:38:19.42417
227151,227151,Contato Idiomus,1,2025-12-20 08:39:15.148091
227212,227212,Contato Idiomus,1,2025-12-20 11:35:10.318319
227648,227648,Contato Idiomus,1,2025-12-21 00:43:20.681015
227704,227704,Contato Idiomus,1,2025-12-21 03:35:41.016237
227735,227735,Contato Idiomus,1,2025-12-21 08:38:26.370585
227768,227768,Contato Idiomus,1,2025-12-21 10:37:08.64138
228229,228229,Contato Idiomus,1,2025-12-21 21:20:33.753157
228337,228337,Contato Idiomus,1,2025-12-22 02:38:08.626422
228347,228347,Contato Idiomus,1,2025-12-22 03:34:14.557072
228366,228366,Contato Idiomus,1,2025-12-22 08:36:20.719495
228398,228398,Contato Idiomus,1,2025-12-22 11:28:26.721999
228468,228468,Contato Idiomus,3,2025-12-22 13:36:24.515868
228513,228513,Contato Idiomus,1,2025-12-22 14:49:10.163783
228582,228582,Contato Idiomus,3,2025-12-22 16:31:02.978973
228586,228586,Contato Idiomus,1,2025-12-22 16:32:19.346532
228612,228612,Contato Idiomus,1,2025-12-22 17:08:19.035932
228616,228616,Contato Idiomus,1,2025-12-22 17:48:20.850974
228646,228646,Contato Idiomus,1,2025-12-22 18:53:09.633673
228654,228654,Contato Idiomus,1,2025-12-22 19:11:22.222939
228696,228696,Contato Idiomus,1,2025-12-22 20:27:20.697585
228703,228703,Contato Idiomus,1,2025-12-22 20:55:21.224176
228707,228707,Contato Idiomus,1,2025-12-22 20:59:13.077333
228713,228713,Contato Idiomus,3,2025-12-22 21:28:19.225735
228727,228727,Contato Idiomus,3,2025-12-22 22:01:15.171505
228728,228728,Contato Idiomus,1,2025-12-22 22:04:19.717949
228764,228764,Contato Idiomus,3,2025-12-23 00:15:05.82852
228835,228835,Contato Idiomus,1,2025-12-23 08:36:09.429948
228845,228845,Contato Idiomus,1,2025-12-23 10:28:14.396774
228846,228846,Contato Idiomus,1,2025-12-23 10:28:15.558478
