conversation_id,display_id,inbox,status_anterior,status_novo,mudanca,created_at
244049,244049,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:32
244051,244051,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:32
244052,244052,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:33
244056,244056,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:34
244058,244058,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:35
244059,244059,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:35
244064,244064,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:38
244065,244065,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:38
244066,244066,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:39
244068,244068,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:40
244071,244071,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:41
244072,244072,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:41
244088,244088,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:49
244091,244091,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:51
244101,244101,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:54
244102,244102,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:54
244104,244104,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:55
244107,244107,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:56
244108,244108,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:00:56
244115,244115,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:00:58
244118,244118,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:00
244119,244119,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:01
244126,244126,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:03
244127,244127,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:04
244129,244129,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:04
244131,244131,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:05
244134,244134,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:06
244136,244136,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:07
244139,244139,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:09
244140,244140,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:09
244143,244143,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:11
244147,244147,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:13
244151,244151,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:16
244152,244152,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:16
244153,244153,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:16
244154,244154,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:17
244156,244156,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:17
244159,244159,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:18
244160,244160,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:19
244161,244161,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:19
244162,244162,Contato Idiomus,1,3,open/pending -> snoozed,2025-05-07 12:01:20
244165,244165,Contato Idiomus,3,3,open/pending -> snoozed,2025-05-07 12:01:21
