chatwoot_id,evolvy_id,evolvy_inbox_id,inbox_id,inbox_name,status_anterior,status_novo,created_at
213006,85442,5599,1,Histórico Evolvy,pending,snoozed,2024-04-29 06:36:57
213039,85689,5599,1,Histórico Evolvy,pending,snoozed,2024-04-30 00:45:21
213051,85832,5599,1,Histórico Evolvy,pending,snoozed,2024-04-30 16:41:17
213067,85970,5599,1,Histórico Evolvy,pending,snoozed,2024-05-01 00:49:16
213071,85980,5599,1,Histórico Evolvy,pending,snoozed,2024-05-01 01:33:02
213116,86284,5599,1,Histórico Evolvy,pending,snoozed,2024-05-02 20:42:56
195924,89524,5598,1,Histórico Evolvy,pending,snoozed,2024-05-20 16:35:48
196680,90348,5598,1,Histórico Evolvy,pending,snoozed,2024-05-24 17:01:14
198984,94523,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:16:06
198986,94526,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:18:05
198990,94532,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:22:06
198992,94535,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:28:06
198993,94536,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:29:05
198995,94538,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:32:05
198999,94542,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:38:05
199000,94546,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:51:06
199001,94548,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 17:53:05
199003,94554,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:04:06
199004,94555,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:07:08
199005,94556,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:07:13
199006,94557,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:09:05
199007,94559,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:10:05
199008,94560,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:11:05
199010,94563,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:12:04
199011,94564,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:12:07
199012,94568,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:18:05
199014,94572,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:28:05
199016,94575,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:39:05
199017,94576,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:40:05
199020,94580,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:46:06
199021,94581,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:46:09
199022,94582,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:51:05
199025,94585,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:54:06
199026,94586,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:57:19
199027,94587,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 18:59:05
199028,94588,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 19:01:06
199033,94594,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 19:12:06
199034,94595,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 19:16:06
199036,94598,5598,1,Histórico Evolvy,pending,snoozed,2024-06-17 19:19:05
