evolvy_id,evolvy_inbox,chatwoot_inbox,created_at,data,periodo,status
2,5871,7,1711263081,2024-03-24,dentro_periodo,importado
15,5871,7,1711276437,2024-03-24,dentro_periodo,importado
17,5871,7,1711276992,2024-03-24,dentro_periodo,importado
18,5871,7,1711277112,2024-03-24,dentro_periodo,importado
22,5871,7,1711279665,2024-03-24,dentro_periodo,importado
23,5598,1,1711280144,2024-03-24,dentro_periodo,importado
24,5598,1,1711280193,2024-03-24,dentro_periodo,importado
25,5871,7,1711285522,2024-03-24,dentro_periodo,importado
26,5871,7,1711286654,2024-03-24,dentro_periodo,importado
27,5599,1,1711286723,2024-03-24,dentro_periodo,importado
28,5601,11,1711287529,2024-03-24,dentro_periodo,importado
31,5598,1,1711291275,2024-03-24,dentro_periodo,importado
32,5871,7,1711291945,2024-03-24,dentro_periodo,importado
33,5871,7,1711292146,2024-03-24,dentro_periodo,importado
35,5871,7,1711294186,2024-03-24,dentro_periodo,importado
36,5871,7,1711294268,2024-03-24,dentro_periodo,importado
38,5601,11,1711295537,2024-03-24,dentro_periodo,importado
39,5871,7,1711295633,2024-03-24,dentro_periodo,importado
42,5598,1,1711300091,2024-03-24,dentro_periodo,importado
44,5598,1,1711302297,2024-03-24,dentro_periodo,importado
45,5871,7,1711303467,2024-03-24,dentro_periodo,importado
46,5871,7,1711304405,2024-03-24,dentro_periodo,importado
48,5871,7,1711306037,2024-03-24,dentro_periodo,importado
50,5871,7,1711307910,2024-03-24,dentro_periodo,importado
52,5871,7,1711309183,2024-03-24,dentro_periodo,importado
53,5598,1,1711310482,2024-03-24,dentro_periodo,importado
54,5871,7,1711312780,2024-03-24,dentro_periodo,importado
56,5871,7,1711315586,2024-03-24,dentro_periodo,importado
57,5598,1,1711318364,2024-03-24,dentro_periodo,importado
58,5599,1,1711319546,2024-03-24,dentro_periodo,importado
60,5598,1,1711320457,2024-03-24,dentro_periodo,importado
61,5599,1,1711320931,2024-03-24,dentro_periodo,importado
63,5871,7,1711323461,2024-03-24,dentro_periodo,importado
66,5598,1,1711331171,2024-03-24,dentro_periodo,importado
67,5598,1,1711331469,2024-03-24,dentro_periodo,importado
68,5599,1,1711332191,2024-03-24,dentro_periodo,importado
70,5598,1,1711339724,2024-03-25,dentro_periodo,importado
71,5871,7,1711342009,2024-03-25,dentro_periodo,importado
72,5871,7,1711354809,2024-03-25,dentro_periodo,importado
73,5871,7,1711354861,2024-03-25,dentro_periodo,importado
74,5871,7,1711355432,2024-03-25,dentro_periodo,importado
79,5871,7,1711358189,2024-03-25,dentro_periodo,importado
91,5871,7,1711360276,2024-03-25,dentro_periodo,importado
94,5598,1,1711362590,2024-03-25,dentro_periodo,importado
99,5598,1,1711367749,2024-03-25,dentro_periodo,importado
101,5871,7,1711368532,2024-03-25,dentro_periodo,importado
102,5598,1,1711368893,2024-03-25,dentro_periodo,importado
31276,5871,7,1704067818,2023-12-31,dentro_periodo,importado
31319,5871,7,1704079685,2024-01-01,dentro_periodo,importado
31321,5871,7,1704083186,2024-01-01,dentro_periodo,importado
31322,5599,1,1704083263,2024-01-01,dentro_periodo,importado
31324,5871,7,1704085215,2024-01-01,dentro_periodo,importado
31325,5598,1,1704088647,2024-01-01,dentro_periodo,importado
31326,5598,1,1704097515,2024-01-01,dentro_periodo,importado
31327,5598,1,1704103143,2024-01-01,dentro_periodo,importado
31328,5598,1,1704105875,2024-01-01,dentro_periodo,importado
31329,5598,1,1704108002,2024-01-01,dentro_periodo,importado
31332,5598,1,1704112778,2024-01-01,dentro_periodo,importado
31333,5598,1,1704114005,2024-01-01,dentro_periodo,importado
31336,5598,1,1704115250,2024-01-01,dentro_periodo,importado
31337,5598,1,1704115301,2024-01-01,dentro_periodo,importado
31338,5598,1,1704115408,2024-01-01,dentro_periodo,importado
31339,5598,1,1704116262,2024-01-01,dentro_periodo,importado
31341,5599,1,1704117787,2024-01-01,dentro_periodo,importado
31342,5598,1,1704117895,2024-01-01,dentro_periodo,importado
31343,5598,1,1704118752,2024-01-01,dentro_periodo,importado
31344,5598,1,1704119786,2024-01-01,dentro_periodo,importado
31345,5598,1,1704119884,2024-01-01,dentro_periodo,importado
31347,5598,1,1704122528,2024-01-01,dentro_periodo,importado
31348,5598,1,1704122900,2024-01-01,dentro_periodo,importado
31349,5871,7,1704123440,2024-01-01,dentro_periodo,importado
31350,5871,7,1704123905,2024-01-01,dentro_periodo,importado
31351,5598,1,1704124647,2024-01-01,dentro_periodo,importado
31352,5599,1,1704125356,2024-01-01,dentro_periodo,importado
31353,5598,1,1704125717,2024-01-01,dentro_periodo,importado
31354,5598,1,1704126500,2024-01-01,dentro_periodo,importado
31355,5598,1,1704126628,2024-01-01,dentro_periodo,importado
31356,5599,1,1704126838,2024-01-01,dentro_periodo,importado
31358,5871,7,1704129298,2024-01-01,dentro_periodo,importado
31359,5598,1,1704129559,2024-01-01,dentro_periodo,importado
31360,5871,7,1704132862,2024-01-01,dentro_periodo,importado
31361,5598,1,1704133026,2024-01-01,dentro_periodo,importado
31362,5599,1,1704134443,2024-01-01,dentro_periodo,importado
31364,5871,7,1704135579,2024-01-01,dentro_periodo,importado
31365,5598,1,1704135797,2024-01-01,dentro_periodo,importado
31366,5598,1,1704136787,2024-01-01,dentro_periodo,importado
31367,5871,7,1704136867,2024-01-01,dentro_periodo,importado
31369,5871,7,1704137736,2024-01-01,dentro_periodo,importado
31370,5598,1,1704138851,2024-01-01,dentro_periodo,importado
31371,5871,7,1704139271,2024-01-01,dentro_periodo,importado
31372,5598,1,1704140119,2024-01-01,dentro_periodo,importado
31373,5598,1,1704140707,2024-01-01,dentro_periodo,importado
31374,5598,1,1704141246,2024-01-01,dentro_periodo,importado
31375,5871,7,1704144521,2024-01-01,dentro_periodo,importado
31376,5598,1,1704144525,2024-01-01,dentro_periodo,importado
31377,5598,1,1704144736,2024-01-01,dentro_periodo,importado
31378,5598,1,1704144887,2024-01-01,dentro_periodo,importado
31379,5598,1,1704145200,2024-01-01,dentro_periodo,importado
31380,5871,7,1704147262,2024-01-01,dentro_periodo,importado
31381,5871,7,1704148096,2024-01-01,dentro_periodo,importado
31382,5598,1,1704149875,2024-01-01,dentro_periodo,importado
31383,5598,1,1704150183,2024-01-01,dentro_periodo,importado
31384,5598,1,1704150249,2024-01-01,dentro_periodo,importado
31386,5871,7,1704151112,2024-01-01,dentro_periodo,importado
31387,5599,1,1704152352,2024-01-01,dentro_periodo,importado
31388,5598,1,1704152891,2024-01-01,dentro_periodo,importado
31389,5871,7,1704153078,2024-01-01,dentro_periodo,importado
31390,5598,1,1704153518,2024-01-01,dentro_periodo,importado
31391,5598,1,1704153930,2024-01-01,dentro_periodo,importado
31392,5871,7,1704155649,2024-01-01,dentro_periodo,importado
31393,5598,1,1704159107,2024-01-01,dentro_periodo,importado
31396,5871,7,1704165437,2024-01-02,dentro_periodo,importado
31397,5871,7,1704165607,2024-01-02,dentro_periodo,importado
31400,5599,1,1704170013,2024-01-02,dentro_periodo,importado
31401,5871,7,1704177567,2024-01-02,dentro_periodo,importado
31402,5871,7,1704180349,2024-01-02,dentro_periodo,importado
31403,5598,1,1704183153,2024-01-02,dentro_periodo,importado
31405,5599,1,1704185249,2024-01-02,dentro_periodo,importado
31407,5598,1,1704191303,2024-01-02,dentro_periodo,importado
31408,5599,1,1704192779,2024-01-02,dentro_periodo,importado
31409,5598,1,1704192894,2024-01-02,dentro_periodo,importado
31410,5598,1,1704192908,2024-01-02,dentro_periodo,importado
31411,5598,1,1704194310,2024-01-02,dentro_periodo,importado
31412,5871,7,1704195236,2024-01-02,dentro_periodo,importado
31413,5871,7,1704195440,2024-01-02,dentro_periodo,importado
31414,5598,1,1704195686,2024-01-02,dentro_periodo,importado
31415,5598,1,1704195771,2024-01-02,dentro_periodo,importado
31416,5598,1,1704195856,2024-01-02,dentro_periodo,importado
31417,5598,1,1704195917,2024-01-02,dentro_periodo,importado
31418,5598,1,1704195932,2024-01-02,dentro_periodo,importado
31419,5598,1,1704195971,2024-01-02,dentro_periodo,importado
31420,5598,1,1704196698,2024-01-02,dentro_periodo,importado
31421,5871,7,1704196790,2024-01-02,dentro_periodo,importado
31422,5598,1,1704196890,2024-01-02,dentro_periodo,importado
31423,5598,1,1704197534,2024-01-02,dentro_periodo,importado
31424,5598,1,1704197728,2024-01-02,dentro_periodo,importado
31425,5598,1,1704197986,2024-01-02,dentro_periodo,importado
31428,5598,1,1704198717,2024-01-02,dentro_periodo,importado
31430,5598,1,1704199371,2024-01-02,dentro_periodo,importado
31431,5871,7,1704199797,2024-01-02,dentro_periodo,importado
31432,5598,1,1704200163,2024-01-02,dentro_periodo,importado
31433,5598,1,1704200293,2024-01-02,dentro_periodo,importado
31434,5598,1,1704200403,2024-01-02,dentro_periodo,importado
31435,5599,1,1704200691,2024-01-02,dentro_periodo,importado
31437,5598,1,1704201338,2024-01-02,dentro_periodo,importado
31438,5599,1,1704201847,2024-01-02,dentro_periodo,importado
31439,5598,1,1704201873,2024-01-02,dentro_periodo,importado
31440,5598,1,1704202041,2024-01-02,dentro_periodo,importado
31443,5599,1,1704202361,2024-01-02,dentro_periodo,importado
31445,5599,1,1704203165,2024-01-02,dentro_periodo,importado
31446,5871,7,1704203244,2024-01-02,dentro_periodo,importado
31447,5598,1,1704203300,2024-01-02,dentro_periodo,importado
31448,5871,7,1704203495,2024-01-02,dentro_periodo,importado
31451,5598,1,1704204832,2024-01-02,dentro_periodo,importado
31452,5598,1,1704205111,2024-01-02,dentro_periodo,importado
31453,5599,1,1704205912,2024-01-02,dentro_periodo,importado
31454,5598,1,1704206099,2024-01-02,dentro_periodo,importado
31455,5598,1,1704206214,2024-01-02,dentro_periodo,importado
31456,5598,1,1704206428,2024-01-02,dentro_periodo,importado
31457,5598,1,1704206515,2024-01-02,dentro_periodo,importado
31458,5598,1,1704206522,2024-01-02,dentro_periodo,importado
31459,5598,1,1704206744,2024-01-02,dentro_periodo,importado
31460,5871,7,1704206901,2024-01-02,dentro_periodo,importado
31461,5598,1,1704207125,2024-01-02,dentro_periodo,importado
31462,5598,1,1704207217,2024-01-02,dentro_periodo,importado
31463,5599,1,1704207345,2024-01-02,dentro_periodo,importado
31464,5598,1,1704207373,2024-01-02,dentro_periodo,importado
31465,5598,1,1704207940,2024-01-02,dentro_periodo,importado
31466,5598,1,1704208000,2024-01-02,dentro_periodo,importado
31468,5871,7,1704208150,2024-01-02,dentro_periodo,importado
31469,5871,7,1704209215,2024-01-02,dentro_periodo,importado
31470,5598,1,1704209256,2024-01-02,dentro_periodo,importado
31471,5871,7,1704209299,2024-01-02,dentro_periodo,importado
31472,5871,7,1704209433,2024-01-02,dentro_periodo,importado
31473,5871,7,1704209433,2024-01-02,dentro_periodo,importado
31474,5871,7,1704209450,2024-01-02,dentro_periodo,importado
31475,5871,7,1704209702,2024-01-02,dentro_periodo,importado
31476,5871,7,1704209967,2024-01-02,dentro_periodo,importado
31477,5598,1,1704210154,2024-01-02,dentro_periodo,importado
31478,5599,1,1704210195,2024-01-02,dentro_periodo,importado
31481,5598,1,1704211001,2024-01-02,dentro_periodo,importado
31482,5871,7,1704211054,2024-01-02,dentro_periodo,importado
31483,5598,1,1704211699,2024-01-02,dentro_periodo,importado
31484,5598,1,1704211826,2024-01-02,dentro_periodo,importado
31486,5598,1,1704212260,2024-01-02,dentro_periodo,importado
31487,5598,1,1704212940,2024-01-02,dentro_periodo,importado
31489,5871,7,1704215546,2024-01-02,dentro_periodo,importado
31490,5598,1,1704215827,2024-01-02,dentro_periodo,importado
31491,5598,1,1704216640,2024-01-02,dentro_periodo,importado
31493,5599,1,1704217707,2024-01-02,dentro_periodo,importado
